Id,pr_score
436649,7.73E-06
730557,4.45E-06
3086403,4.45E-06
501187,0.000125858
5279330,4.45E-06
6174924,2.96E-05
3791372,1.49E-05
456130,4.45E-06
6830225,4.45E-06
7318153,4.45E-06
8587994,4.45E-06
4509083,1.03E-05
1636554,1.39E-05
1460422,1.01E-05
5648867,4.45E-06
956900,4.42E-05
2411451,6.37E-06
969465,4.45E-06
4065772,1.23E-05
322129,0.000111602
4807670,7.73E-06
3348145,9.04E-06
5625476,1.39E-05
6395770,6.20E-06
199,2.96E-05
4505383,7.73E-06
2206004,2.15E-05
525965,8.46E-06
3826894,4.45E-06
1473412,2.96E-05
4733229,4.45E-06
4362773,5.48E-05
1715121,0.000102628
3744304,0.000208601
1729688,3.79E-05
500959,3.22E-05
676627,7.73E-06
5508854,6.99E-06
3108948,4.45E-06
1913729,8.18E-05
2505122,7.57E-06
2389834,4.45E-06
5285659,5.49E-06
48523,6.58E-06
2127454,1.24E-05
259457,8.02E-05
9159046,4.45E-06
1323392,1.46E-05
4498396,2.96E-05
4405775,1.23E-05
1118830,4.02E-05
3266303,3.17E-05
6098281,7.73E-06
4927984,0.000111135
3533082,4.45E-06
1508210,4.59E-06
127826,5.77E-05
1698033,4.45E-06
555946,2.30E-05
1649781,1.02E-05
850882,4.45E-06
1688441,4.60E-05
2130497,2.96E-05
7404996,8.56E-06
425964,6.20E-06
1366211,4.45E-06
3484640,8.23E-06
1094058,2.30E-05
4058682,3.46E-05
7058939,1.26E-05
2426658,4.45E-06
1735262,1.37E-05
153942,4.45E-06
5031275,1.95E-05
1141004,4.45E-06
3916175,2.96E-05
3241111,4.19E-05
1585345,7.90E-05
671131,4.45E-06
8488711,4.45E-06
1714390,1.39E-05
7539786,4.45E-06
166761,1.42E-05
183181,0.00024488
1934009,4.45E-06
2933141,2.96E-05
1305026,4.45E-06
335036,6.20E-06
3168847,7.73E-06
3170094,4.45E-06
1419344,2.62E-05
4168250,1.31E-05
417685,8.44E-05
1238244,6.15E-05
7397119,4.45E-06
569243,1.03E-05
1245584,1.29E-05
4317383,2.96E-05
69349,3.59E-05
656833,6.20E-06
257645,4.45E-06
1670388,5.33E-05
3464501,4.45E-06
1535827,4.86E-05
6120482,7.73E-06
2160669,1.68E-05
380167,4.45E-06
247013,6.76E-06
9770840,7.68E-05
401539,6.34E-06
1683943,2.49E-05
1312635,2.50E-05
1449676,1.25E-05
219,4.94E-06
4665866,4.45E-06
1529618,7.15E-06
1236397,8.92E-05
1544266,4.45E-06
785193,9.92E-05
244296,7.76E-06
7492693,4.45E-06
3150191,8.65E-06
1679959,2.96E-05
31299,4.45E-06
980550,1.53E-05
2969996,3.30E-05
1065868,1.09E-05
5127346,4.45E-06
262073,8.23E-06
427328,2.44E-05
3428626,1.74E-05
1262537,6.99E-06
1159056,9.27E-05
1698073,0.000118755
4390783,6.40E-06
1464059,2.96E-05
1715740,6.74E-06
1195752,7.35E-06
2115381,7.64E-05
1854382,6.99E-06
6469847,5.30E-06
663870,4.53E-06
1555312,1.60E-05
484390,1.17E-05
1906094,6.08E-05
4594467,2.96E-05
179531,2.15E-05
103832,2.96E-05
1671933,1.89E-05
9316568,2.96E-05
4395287,7.60E-05
3797907,2.96E-05
1536850,8.65E-06
245522,7.69E-06
4221558,6.81E-06
487060,8.42E-06
846993,7.94E-06
4206079,0.000340713
3543339,2.96E-05
2091144,9.43E-06
3145603,4.45E-06
9284236,4.45E-06
6741739,6.81E-05
3893200,1.58E-05
1078217,1.03E-05
1003387,4.90E-05
613559,0.000370017
6524550,4.45E-06
2464809,1.80E-05
2857556,3.97E-05
8285970,5.99E-06
997190,1.03E-05
1831,0.00022348
7254231,2.96E-05
699969,6.74E-06
616815,5.02E-06
274350,4.45E-06
220783,4.45E-06
1695163,0.000166362
1754832,1.39E-05
3975904,4.45E-06
1203115,2.96E-05
2986952,4.45E-06
1986221,3.25E-05
839990,4.45E-06
2872942,4.45E-06
6690789,9.49E-06
2582498,2.56E-05
2997398,2.60E-05
381345,3.96E-05
3744244,3.44E-05
8223222,4.45E-06
1533141,5.11E-06
1486510,4.45E-06
2364629,2.97E-05
1654918,4.45E-06
660370,9.69E-06
3763216,4.45E-06
1608208,4.45E-06
7492691,1.31E-05
1159719,5.75E-06
1090637,1.75E-05
1908408,4.45E-06
631517,4.45E-06
394317,4.45E-06
5600777,2.96E-05
3339242,1.23E-05
3067524,2.55E-05
2389194,1.67E-05
38913,4.45E-06
1583522,1.54E-05
4599552,7.73E-06
75276,8.23E-06
4057246,4.45E-06
1045567,4.68E-06
1832432,1.03E-05
263693,4.78E-06
3311769,7.73E-06
1991244,5.27E-06
1350598,1.05E-05
5207145,4.45E-06
2247467,4.45E-06
679006,1.23E-05
1449937,4.45E-06
1366137,2.96E-05
2022208,4.45E-06
2848603,4.45E-06
8109550,2.96E-05
7489355,4.45E-06
3027177,3.62E-05
3250233,7.73E-06
790330,7.73E-06
1572834,9.41E-06
252353,4.45E-06
3735746,1.39E-05
2409987,4.45E-06
4450160,4.45E-06
6849912,2.96E-05
122,8.23E-06
4427696,2.96E-05
908392,1.07E-05
544018,6.99E-06
82330,3.13E-05
1212968,4.83E-06
4185234,0.000271759
2323536,4.00E-05
2517603,2.96E-05
3247703,0.002854901
3979823,1.13E-05
2994949,7.73E-06
2412204,9.68E-06
2217859,9.26E-06
445142,1.28E-05
5361348,4.45E-06
7492208,4.45E-06
5519975,1.03E-05
770358,9.32E-06
